Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A14006_001,SE_A09005_001,SE_A09005_002,SE_A09005_009,SE_A09005_010,SE_A09005_003,SE_A09005_004,SE_A09005_005,SE_A09005_006,SE_A09005_007,SE_A09005_008
"42003010300","14000US42003010300","Census Tract 103","Census Tract 103, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006111",,,,,"42","003",,,,"010300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21136,1449,500,389,111,163,0,23,670,0,93
"42003020100","14000US42003020100","Census Tract 201","Census Tract 201, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006112",,,,,"42","003",,,,"020100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87885,3117,894,796,98,415,0,39,1533,13,223
"42003020300","14000US42003020300","Census Tract 203","Census Tract 203, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006113",,,,,"42","003",,,,"020300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99397,834,535,489,46,92,0,5,113,8,81
"42003030500","14000US42003030500","Census Tract 305","Census Tract 305, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006114",,,,,"42","003",,,,"030500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17776,680,335,305,30,159,0,1,145,0,40
"42003040200","14000US42003040200","Census Tract 402","Census Tract 402, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006115",,,,,"42","003",,,,"040200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17773,701,202,150,52,183,0,0,231,13,72
"42003040400","14000US42003040400","Census Tract 404","Census Tract 404, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006116",,,,,"42","003",,,,"040400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30250,749,260,233,27,96,0,0,346,0,47
"42003040500","14000US42003040500","Census Tract 405","Census Tract 405, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006117",,,,,"42","003",,,,"040500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17932,1506,414,349,65,306,0,45,701,8,32
"42003040600","14000US42003040600","Census Tract 406","Census Tract 406, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006118",,,,,"42","003",,,,"040600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22981,1235,470,379,91,153,0,9,575,0,28
"42003040900","14000US42003040900","Census Tract 409","Census Tract 409, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006119",,,,,"42","003",,,,"040900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21277,1609,785,702,83,208,18,82,453,20,43
"42003050100","14000US42003050100","Census Tract 501","Census Tract 501, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006120",,,,,"42","003",,,,"050100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16366,592,272,253,19,260,0,0,54,0,6
"42003050600","14000US42003050600","Census Tract 506","Census Tract 506, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006121",,,,,"42","003",,,,"050600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46250,675,456,301,155,65,0,18,47,40,49
"42003050900","14000US42003050900","Census Tract 509","Census Tract 509, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006122",,,,,"42","003",,,,"050900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14894,392,184,102,82,145,0,0,63,0,0
"42003051000","14000US42003051000","Census Tract 510","Census Tract 510, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006123",,,,,"42","003",,,,"051000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14261,768,267,209,58,260,0,0,219,0,22
"42003051100","14000US42003051100","Census Tract 511","Census Tract 511, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006124",,,,,"42","003",,,,"051100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17386,51,24,7,17,27,0,0,0,0,0
"42003060300","14000US42003060300","Census Tract 603","Census Tract 603, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006125",,,,,"42","003",,,,"060300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69917,1475,944,816,128,190,20,57,130,10,124
"42003060500","14000US42003060500","Census Tract 605","Census Tract 605, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006126",,,,,"42","003",,,,"060500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45446,875,489,386,103,159,15,62,81,0,69
"42003070300","14000US42003070300","Census Tract 703","Census Tract 703, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006127",,,,,"42","003",,,,"070300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57798,1262,639,557,82,282,0,25,185,0,131
"42003070500","14000US42003070500","Census Tract 705","Census Tract 705, Allegheny County, Pennsylvania","pa","140","00","ACSSF","0006128",,,,,"42","003",,,,"070500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55135,2166,1096,986,110,698,0,52,263,0,57
